station_uuid,diesel,e5,e10,last_update
00006210-0037-4444-8888-acdc00006210,2.099,2.019,1.959,2026-03-12T10:19:20+01:00
00016899-3247-4444-8888-acdc00000007,2.149,2.109,2.059,2026-03-12T07:59:54+01:00
00041450-0002-4444-8888-acdc00000002,2.118,1.998,1.958,2026-03-12T09:09:09+01:00
00047369-0001-4444-8888-acdc00000001,2.038,1.958,1.898,2026-03-12T08:00:56+01:00
00060001-d387-4444-8888-acdc00000001,2.159,2.089,2.029,2026-03-12T09:10:10+01:00
00060002-cb47-4444-8888-acdc00000001,2.149,2.069,1.999,2026-03-12T09:59:58+01:00
00060009-3adf-4444-8888-acdc00000001,2.129,2.049,2.019,2026-03-10T15:50:58+01:00
00060011-0006-4444-8888-acdcffffffff,2.139,2.049,1.989,2026-03-09T14:24:34+01:00
00060014-b0d9-4444-8888-acdc00000002,2.069,1.989,1.929,2026-03-12T11:24:15+01:00
00060015-0090-4444-8888-acdc00000090,2.109,2.019,1.959,2026-03-12T10:07:10+01:00
00060016-ed96-4444-8888-acdc00000001,2.169,2.049,2.019,2026-03-09T12:14:26+01:00
00060022-0001-4444-8888-acdc00000001,2.109,2.019,1.959,2026-03-12T09:04:00+01:00
00060029-0003-4444-8888-acdc00000003,2.059,2.049,1.989,2026-03-12T10:35:33+01:00
00060050-0001-4444-8888-acdc00000001,2.149,2.089,2.069,2026-03-12T09:33:31+01:00
00060054-0001-4444-8888-acdc00000001,2.099,2.029,1.969,2026-03-10T07:54:31+01:00
00060055-0001-4444-8888-acdc00000001,2.069,1.949,1.909,2026-03-12T11:36:25+01:00
00060056-0001-4444-8888-acdc00000001,2.079,1.969,1.939,2026-03-12T06:11:17+01:00
00060057-3147-4444-8888-acdc00060057,2.139,2.029,1.999,2026-03-09T16:25:29+01:00
00060059-0004-4444-8888-acdc00000004,2.089,1.979,1.919,2026-03-12T11:09:00+01:00
00060063-0001-4444-8888-acdcffffffff,2.119,2.069,2.009,2026-03-12T09:59:58+01:00
00060065-7890-4444-8888-acdc00000004,2.059,1.999,1.939,2026-03-12T11:56:46+01:00
00060066-ad70-4444-8888-acdc00000001,2.099,1.989,1.929,2026-03-10T10:16:46+01:00
00060075-0001-4444-8888-acdc00000001,2.119,2.079,2.019,2026-03-12T10:36:34+01:00
00060084-0001-4444-8888-acdc00000001,2.159,2.109,2.089,2026-03-09T17:20:24+01:00
00060092-0001-4444-8888-acdc00000001,2.169,2.099,2.039,2026-03-12T10:42:38+01:00
00060105-0001-4444-8888-acdc00000001,2.059,1.999,1.959,2026-03-11T12:07:53+01:00
00060117-0001-4444-8888-acdcffffffff,2.149,2.039,1.979,2026-03-12T11:21:13+01:00
00060145-0001-4444-8888-acdc00000001,2.019,1.959,1.899,2026-03-12T11:10:01+01:00
00060151-0001-4444-8888-acdc00000001,2.049,1.989,1.929,2026-03-12T08:27:25+01:00
00060157-0001-4444-8888-acdc00000001,2.089,2.039,1.979,2026-03-12T11:58:47+01:00
00060158-0001-4444-8888-acdcffffffff,2.139,2.129,2.069,2026-03-12T11:13:04+01:00
00060162-0001-4444-8888-acdc00000001,2.059,1.949,1.889,2026-03-12T11:20:12+01:00
00060166-0002-4444-8888-acdc00000002,2.124,2.044,1.984,2026-03-12T09:55:56+01:00
00060176-f4b2-4444-8888-acdc00000001,2.099,2.049,2.009,2026-03-10T07:03:45+01:00
00060195-0001-4444-8888-acdc00000001,2.039,1.929,1.869,2026-03-12T11:44:31+01:00
00060207-0008-4444-8888-acdcffffffff,2.139,2.049,1.989,2026-03-09T14:28:37+01:00
00060214-aa82-4444-8888-acdc00000001,2.049,2.039,2.019,2026-03-12T10:28:28+01:00
00060234-4c2d-4444-8888-acdc00000001,2.100,2.030,2.010,2026-03-12T08:21:19+01:00
00060240-0001-4444-8888-acdc00000003,2.029,1.949,1.899,2026-03-12T11:30:20+01:00
00060247-0001-4444-8888-acdcffffffff,2.139,2.069,2.009,2026-03-11T14:58:26+01:00
00060251-0012-4444-8888-acdcffffffff,2.139,2.069,2.009,2026-03-09T14:16:28+01:00
00060266-0001-4444-8888-acdc00000001,2.079,1.999,1.939,2026-03-12T08:57:56+01:00
00060279-0001-4444-8888-acdc00000001,2.109,2.009,1.969,2026-03-09T19:22:13+01:00
00060282-9715-4444-8888-acdc00000001,2.079,2.029,1.969,2026-03-12T11:33:23+01:00
00060283-0001-4444-8888-acdc00000001,2.159,2.109,2.089,2026-03-09T17:21:25+01:00
00060289-0001-8888-acdc-00000001ffff,2.109,2.019,1.989,2026-03-11T11:59:46+01:00
00060300-0001-4444-8888-acdc00000001,2.150,2.070,2.040,2026-03-10T07:37:19+01:00
00060301-0001-4444-8888-acdc00000001,2.199,2.129,2.089,2026-03-12T09:37:35+01:00
00060306-0001-4444-8888-acdc00000001,2.089,1.999,1.959,2026-03-12T06:05:12+01:00
00060332-0001-4444-8888-acdc00000001,2.129,2.069,2.009,2026-03-12T11:55:45+01:00
00060333-0001-4444-8888-acdc00000001,2.179,2.089,2.059,2026-03-12T09:59:58+01:00
00060336-0001-4444-8888-acdc00000001,2.104,2.074,2.014,2026-03-12T09:54:55+01:00
00060360-0004-4444-8888-acdc00000004,2.089,1.999,1.969,2026-03-12T07:18:23+01:00
00060361-0001-4444-8888-acdc00000001,2.099,1.969,1.909,2026-03-12T11:40:28+01:00
00060378-0001-4444-8888-acdc00000001,2.069,1.989,1.939,2026-03-12T11:59:48+01:00
00060389-0002-4444-8888-acdc00000002,2.089,1.999,1.969,2026-03-12T07:48:47+01:00
